,file,date,time,magnification,community,replicate,measure_point,Tet,Pca,Col,Ble,Ble_shadow,hours
166,sample_0004,2019-01-18,10,1,Pca,1,t6,0,180.380904155062,0,0,0,96
167,sample_0005,2019-01-18,10,1,Pca,2,t6,0,113.764874672968,0,0,0,96
168,sample_0006,2019-01-18,10,1,Pca,3,t6,0,102.568430528596,0,0,0,96
169,sample_0007,2019-01-18,10,1,Col,1,t6,0,0,1577.74214420345,0,0,96
170,sample_0008,2019-01-18,10,1,Col,2,t6,0,0,1593.04582665204,0,0,96
171,sample_0009,2019-01-18,10,1,Col,3,t6,0,0,1452.38698061721,0,0,96
172,sample_0010,2019-01-18,10,1,Ble,1,t6,0,0,0,8.77711199257321,2.1942779981433,96
173,sample_0011,2019-01-18,10,1,Ble,2,t6,0,0,0,6.86415168649956,1.35032492193434,96
174,sample_0012,2019-01-18,10,1,Ble,3,t6,0,0,0,16.6540073705235,9.62106506878218,96
175,sample_0013,2019-01-18,10,1,Ble_Tet,1,t6,5919.88072129856,0,0,18.9608124454947,4.44481953470054,96
176,sample_0014,2019-01-18,10,1,Ble_Tet,2,t6,6145.55377387684,0,0,0,2.64438630545475,96
177,sample_0015,2019-01-18,10,1,Ble_Tet,3,t6,5234.14071510957,0,0,8.15821307001997,0,96
178,sample_0016,2019-01-18,10,1,Ble_Pca,1,t6,0,146.003882184151,0,8.04568599319211,0,96
179,sample_0017,2019-01-18,10,1,Ble_Pca,2,t6,0,120.010127436915,0,8.49579430050356,2.41933215179903,96
180,sample_0018,2019-01-18,10,1,Ble_Pca,3,t6,0,95.5354882268546,0,2.64438630545475,0,96
181,sample_0019,2019-01-18,10,1,Ble_Col,1,t6,0,0,1853.03963766281,0,6.7516246096717,96
182,sample_0020,2019-01-18,10,1,Ble_Col,2,t6,0,0,1525.36078994008,7.42678707063887,0,96
183,sample_0021,2019-01-18,10,1,Ble_Col,3,t6,0,0,1394.15421835879,0,0,96
184,sample_0022,2019-01-18,10,1,Tet_Ble_Pca,1,t6,4090.75308746167,139.308521112893,0,10.8588629138887,0,96
185,sample_0023,2019-01-18,10,1,Tet_Ble_Pca,2,t6,3567.89602498101,200.466987368836,0,8.3832672236757,0,96
186,sample_0024,2019-01-18,10,1,Tet_Ble_Pca,3,t6,4014.68478352604,159.957239710805,0,0,0,96
187,sample_0025,2019-01-18,10,1,Tet_Ble_Col,1,t6,3429.65651109798,0,1317.01690719329,0,0,96
188,sample_0026,2019-01-18,10,1,Tet_Ble_Col,2,t6,2738.17762399077,0,1242.07387402594,0,0,96
189,sample_0027,2019-01-18,10,1,Tet_Ble_Col,3,t6,3693.47624272091,0,1091.56890876867,0,0,96
190,sample_0001,2019-01-21,10,1,Tet,1,t7,3975.58162432835,0,0,0,0,168
191,sample_0002,2019-01-21,10,1,Tet,2,t7,5843.64362674769,0,0,0,0,168
192,sample_0003,2019-01-21,10,1,Tet,3,t7,6209.75047120713,0,0,0,0,168
193,sample_0004,2019-01-21,10,1,Pca,1,t7,0,144.653557262216,0,0,0,168
194,sample_0005,2019-01-21,10,1,Pca,2,t7,0,197.203702140828,0,0,0,168
195,sample_0006,2019-01-21,10,1,Pca,3,t7,0,189.495597378119,0,0,0,168
196,sample_0007,2019-01-21,10,1,Col,1,t7,0,0,1270.93706923228,0,0,168
197,sample_0008,2019-01-21,10,1,Col,2,t7,0,0,1826.98961937716,0,0,168
198,sample_0009,2019-01-21,10,1,Col,3,t7,0,0,2026.27507243931,0,0,168
199,sample_0010,2019-01-21,10,1,Ble,1,t7,0,0,0,66.2221847131966,8.3832672236757,168
200,sample_0011,2019-01-21,10,1,Ble,2,t7,0,0,0,106.788195909641,6.63909753284384,168
201,sample_0012,2019-01-21,10,1,Ble,3,t7,0,0,0,53.7879427237179,1.18153430669255,168
202,sample_0013,2019-01-21,10,1,Ble_Tet,1,t7,2699.63710017723,0,0,55.5321124145498,2.13801445972937,168
203,sample_0014,2019-01-21,10,1,Ble_Tet,2,t7,2616.87343517034,0,0,20.367400905843,11.365234759614,168
204,sample_0015,2019-01-21,10,1,Ble_Tet,3,t7,2395.08256674262,0,0,37.1901988916083,17.2729062930768,168
205,sample_0016,2019-01-21,10,1,Ble_Pca,1,t7,0,133.513376656258,0,11.0839170675444,0,168
206,sample_0017,2019-01-21,10,1,Ble_Pca,2,t7,0,128.618448814246,0,13.053140912032,0,168
207,sample_0018,2019-01-21,10,1,Ble_Pca,3,t7,0,208.512673362028,0,8.55205783891749,0,168
208,sample_0019,2019-01-21,10,1,Ble_Col,1,t7,0,0,1895.29355501167,10.4650181449911,0,168
209,sample_0020,2019-01-21,10,1,Ble_Col,2,t7,0,0,2211.49464089797,0.956480153036825,0,168
210,sample_0021,2019-01-21,10,1,Ble_Col,3,t7,0,0,2031.22626381973,8.77711199257321,0,168
211,sample_0022,2019-01-21,10,1,Tet_Ble_Pca,1,t7,1466.90297352801,129.518665428869,0,24.0807944411624,1.4628519987622,168
212,sample_0023,2019-01-21,10,1,Tet_Ble_Pca,2,t7,1562.83230652376,96.9420766872029,0,16.9915886010071,0,168
213,sample_0024,2019-01-21,10,1,Tet_Ble_Pca,3,t7,1115.70596674825,45.0670942695586,0,6.9204152249135,0,168
214,sample_0025,2019-01-21,10,1,Tet_Ble_Col,1,t7,109.320055138268,0,1532.95636762596,26.7251807466172,0,168
215,sample_0026,2019-01-21,10,1,Tet_Ble_Col,2,t7,423.214335949588,0,2004.38855599629,37.415253045264,0,168
216,sample_0027,2019-01-21,10,1,Tet_Ble_Col,3,t7,83.2137733142037,0,1534.25042900948,35.5585562776043,0,168
217,sample_0001,2019-01-23,10,1,Tet,1,t8,3114.74948659521,0,0,0,0,216
218,sample_0002,2019-01-23,10,1,Tet,2,t8,6043.43545165555,0,0,0,0,216
219,sample_0003,2019-01-23,10,1,Tet,3,t8,5427.12465186936,0,0,0,0,216
220,sample_0004,2019-01-23,10,1,Pca,1,t8,0,72.2986468619011,0,0,0,216
221,sample_0005,2019-01-23,10,1,Pca,2,t8,0,94.6915351506456,0,0,0,216
222,sample_0006,2019-01-23,10,1,Pca,3,t8,0,112.63960390469,0,0,0,216
223,sample_0007,2019-01-23,10,1,Col,1,t8,0,0,1806.67848200973,0,0,216
224,sample_0008,2019-01-23,10,1,Col,2,t8,0,0,1756.43514220609,0,0,216
225,sample_0009,2019-01-23,10,1,Col,3,t8,0,0,1256.53360339832,0,0,216
226,sample_0010,2019-01-23,10,1,Ble,1,t8,0,0,0,115.902889132698,10.0711733760936,216
227,sample_0011,2019-01-23,10,1,Ble,2,t8,0,0,0,91.3157228458098,18.4544405997693,216
228,sample_0012,2019-01-23,10,1,Ble,3,t8,0,0,0,206.599713055954,34.2644948940839,216
229,sample_0013,2019-01-23,10,1,Ble_Tet,1,t8,19.1858665991504,0,0,172.278954623456,15.472473063831,216
230,sample_0014,2019-01-23,10,1,Ble_Tet,2,t8,5.23250907249557,0,0,136.607871269024,15.7537907559006,216
231,sample_0015,2019-01-23,10,1,Ble_Tet,3,t8,4.66987368835626,0,0,146.56651756829,1.18153430669255,216
232,sample_0016,2019-01-23,10,1,Ble_Pca,1,t8,0,251.104171941373,0,44.0543505781079,0,216
233,sample_0017,2019-01-23,10,1,Ble_Pca,2,t8,0,149.829802796298,0,0,0,216
234,sample_0018,2019-01-23,10,1,Ble_Pca,3,t8,0,187.695164148873,0,12.6030326047205,0,216
235,sample_0019,2019-01-23,10,1,Ble_Col,1,t8,0,0,2386.02413705798,1.68790615241793,0,216
236,sample_0020,2019-01-23,10,1,Ble_Col,2,t8,0,0,2506.20305511014,1.29406138352041,0,216
237,sample_0021,2019-01-23,10,1,Ble_Col,3,t8,0,0,2316.6511941936,9.05842968464287,0,216
238,sample_0022,2019-01-23,10,1,Tet_Ble_Pca,1,t8,2.47559569021296,131.712943427012,0,100.374152530453,0,216
239,sample_0023,2019-01-23,10,1,Tet_Ble_Pca,2,t8,14.8535741412777,74.1553436295609,0,74.6617154752862,0,216
240,sample_0024,2019-01-23,10,1,Tet_Ble_Pca,3,t8,16.8790615241793,62.621318254705,0,112.414549751034,10.0149098376797,216
241,sample_0025,2019-01-23,10,1,Tet_Ble_Col,1,t8,0,0,898.641235547304,38.3717331983008,0,216
242,sample_0026,2019-01-23,10,1,Tet_Ble_Col,2,t8,0,0,2152.47418910175,37.7528342757476,0,216
243,sample_0027,2019-01-23,10,1,Tet_Ble_Col,3,t8,9.33974737671252,0,787.464483641376,50.8622387261935,0,216
244,sample_0001,2019-01-25,10,1,Tet,1,t9,3141.362140265,0,0,0,0,264
245,sample_0002,2019-01-25,10,1,Tet,2,t9,4096.9420766872,0,0,0,0,264
246,sample_0003,2019-01-25,10,1,Tet,3,t9,5036.59943173826,0,0,0,0,264
247,sample_0004,2019-01-25,10,1,Pca,1,t9,0,81.8634483922694,0,0,0,264
248,sample_0005,2019-01-25,10,1,Pca,2,t9,0,112.133232058964,0,0,0,264
249,sample_0006,2019-01-25,10,1,Pca,3,t9,0,89.1777083860804,0,0,0,264
250,sample_0007,2019-01-25,10,1,Col,1,t9,0,0,1467.01550060483,0,0,264
251,sample_0008,2019-01-25,10,1,Col,2,t9,0,0,1485.63873181984,0,0,264
252,sample_0009,2019-01-25,10,1,Col,3,t9,0,0,1297.32466874842,0,0,264
253,sample_0010,2019-01-25,10,1,Ble,1,t9,0,0,0,190.733395223226,35.1647115087068,264
254,sample_0011,2019-01-25,10,1,Ble,2,t9,0,0,0,142.740596956143,24.6434298253017,264
255,sample_0012,2019-01-25,10,1,Ble,3,t9,0,0,0,179.311896925198,52.887726109095,264
256,sample_0013,2019-01-25,10,1,Ble_Tet,1,t9,1.35032492193434,0,0,137.789405575717,44.0543505781079,264
257,sample_0014,2019-01-25,10,1,Ble_Tet,2,t9,0,0,0,131.206571581287,15.2474189101753,264
258,sample_0015,2019-01-25,10,1,Ble_Tet,3,t9,7.42678707063887,0,0,139.98368357386,12.6592961431344,264
259,sample_0016,2019-01-25,10,1,Ble_Pca,1,t9,0,108.6448926773,0,20.1423467521872,0,264
260,sample_0017,2019-01-25,10,1,Ble_Pca,2,t9,0,185.613413227558,0,0,0,264
261,sample_0018,2019-01-25,10,1,Ble_Pca,3,t9,0,221.340760120404,0,31.7888992038709,17.2729062930768,264
262,sample_0019,2019-01-25,10,1,Ble_Col,1,t9,0,0,2125.46769066307,34.8833938166371,13.2781950656877,264
263,sample_0020,2019-01-25,10,1,Ble_Col,2,t9,0,0,2127.38065096914,33.9269136636003,52.3250907249557,264
264,sample_0021,2019-01-25,10,1,Ble_Col,3,t9,0,0,2054.29431456944,29.3695670520719,56.3198019523448,264
265,sample_0022,2019-01-25,10,1,Tet_Ble_Pca,1,t9,1.85669676765972,39.4970039665795,0,65.940867021127,9.78985568402397,264
266,sample_0023,2019-01-25,10,1,Tet_Ble_Pca,2,t9,3.37581230483585,60.3145131797339,0,60.0331954876642,7.08920584015529,264
267,sample_0024,2019-01-25,10,1,Tet_Ble_Pca,3,t9,0.67516246096717,52.6064084170253,0,131.994261119082,5.34503614932343,264
