"","X","id","landscape","position","row","column","initial.species","extinctions","distance2nonextinct","connectivity2nonextinct","n_extinctions","correlation","treatment_label","correlation_label","n_extinctions_label","extinction_label","treatment_label_bis","return_point","return_time","distance2extinct"
"93",93,93,6,13,4,1,"Col",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,2
"94",94,94,6,14,4,2,"Col",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"95",95,95,6,15,4,3,"Ble",FALSE,0,NA,4,FALSE,1,"Dispersed extinctions","4 extinctions","Non-extinct patches","4 Dispersed",0,0,1
"96",96,96,6,16,4,4,"Tet",TRUE,1,2,4,FALSE,1,"Dispersed extinctions","4 extinctions","Extinct patches","4 Dispersed",3,164.466666666667,0
"97",97,97,7,1,1,1,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"98",98,98,7,2,1,2,"Tet",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
"99",99,99,7,3,1,3,"Ble",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,3
"100",100,100,7,4,1,4,"Ble",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,4
"101",101,101,7,5,2,1,"Ble",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,1
"102",102,102,7,6,2,2,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,1
"103",103,103,7,7,2,3,"Col",FALSE,0,NA,4,TRUE,2,"Clumped extinctions","4 extinctions","Non-extinct patches","4 Clumped",0,0,2
