"","file","date","time","magnification","landscape","tube_id","position","measure_point","initial_species","extinction","n_extinctions","correlation","bioarea","Tet","Col","Ble","Ble_shadow","Unassigned","local_simpson","landscape_simpson","hours"
"91","sample_0091","2019-03-18",10,1,6,91,11,"t0","Ble",FALSE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"92","sample_0092","2019-03-18",10,1,6,92,12,"t0","Tet",FALSE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"93","sample_0093","2019-03-18",10,1,6,93,13,"t0","Col",FALSE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"94","sample_0094","2019-03-18",10,1,6,94,14,"t0","Col",FALSE,4,FALSE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"95","sample_0095","2019-03-18",10,1,6,95,15,"t0","Ble",FALSE,4,FALSE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"96","sample_0096","2019-03-18",10,1,6,96,16,"t0","Tet",TRUE,4,FALSE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"97","sample_0097","2019-03-18",10,1,7,97,1,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"98","sample_0098","2019-03-18",10,1,7,98,2,"t0","Tet",FALSE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"99","sample_0099","2019-03-18",10,1,7,99,3,"t0","Ble",FALSE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"100","sample_0100","2019-03-18",10,1,7,100,4,"t0","Ble",FALSE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"101","sample_0101","2019-03-18",10,1,7,101,5,"t0","Ble",FALSE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"102","sample_0102","2019-03-18",10,1,7,102,6,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"103","sample_0103","2019-03-18",10,1,7,103,7,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"104","sample_0104","2019-03-18",10,1,7,104,8,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"105","sample_0105","2019-03-18",10,1,7,105,9,"t0","Tet",TRUE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"106","sample_0106","2019-03-18",10,1,7,106,10,"t0","Tet",TRUE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"107","sample_0107","2019-03-18",10,1,7,107,11,"t0","Ble",FALSE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"108","sample_0108","2019-03-18",10,1,7,108,12,"t0","Tet",FALSE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"109","sample_0109","2019-03-18",10,1,7,109,13,"t0","Ble",TRUE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.49859482883406,0
"110","sample_0110","2019-03-18",10,1,7,110,14,"t0","Tet",TRUE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"111","sample_0111","2019-03-18",10,1,7,111,15,"t0","Tet",FALSE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.49859482883406,0
"112","sample_0112","2019-03-18",10,1,7,112,16,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.49859482883406,0
"113","sample_0113","2019-03-18",10,1,8,113,1,"t0","Ble",TRUE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"114","sample_0114","2019-03-18",10,1,8,114,2,"t0","Tet",TRUE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"115","sample_0115","2019-03-18",10,1,8,115,3,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
"116","sample_0116","2019-03-18",10,1,8,116,4,"t0","Tet",FALSE,4,TRUE,18684.2131064427,11465.057529468,0,0,0,0,1,1.67280801345406,0
"117","sample_0117","2019-03-18",10,1,8,117,5,"t0","Ble",TRUE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"118","sample_0118","2019-03-18",10,1,8,118,6,"t0","Ble",TRUE,4,TRUE,8130.88129984077,0,0,393.237122682646,0,0,1,1.67280801345406,0
"119","sample_0119","2019-03-18",10,1,8,119,7,"t0","Col",FALSE,4,TRUE,20135.7647808164,0,3127.2399921231,0,0,0,1,1.67280801345406,0
