"","id","landscape","position","row","column","initial.species","extinctions","distance2nonextinct","connectivity2nonextinct"
"204",204,13,12,3,4,"Ble",FALSE,0,NA
"205",205,13,13,4,1,"Col",FALSE,0,NA
"206",206,13,14,4,2,"Ble",FALSE,0,NA
"207",207,13,15,4,3,"Tet",FALSE,0,NA
"208",208,13,16,4,4,"Col",FALSE,0,NA
"209",209,14,1,1,1,"Col",FALSE,0,NA
"210",210,14,2,1,2,"Tet",TRUE,1,3
"211",211,14,3,1,3,"Tet",FALSE,0,NA
"212",212,14,4,1,4,"Ble",TRUE,1,2
"213",213,14,5,2,1,"Tet",TRUE,1,3
"214",214,14,6,2,2,"Ble",FALSE,0,NA
"215",215,14,7,2,3,"Col",TRUE,1,4
"216",216,14,8,2,4,"Col",FALSE,0,NA
"217",217,14,9,3,1,"Ble",FALSE,0,NA
"218",218,14,10,3,2,"Col",TRUE,1,4
"219",219,14,11,3,3,"Col",FALSE,0,NA
"220",220,14,12,3,4,"Tet",TRUE,1,3
"221",221,14,13,4,1,"Tet",TRUE,1,2
"222",222,14,14,4,2,"Tet",FALSE,0,NA
"223",223,14,15,4,3,"Ble",TRUE,1,3
"224",224,14,16,4,4,"Ble",FALSE,0,NA
"225",225,15,1,1,1,"Tet",TRUE,2,0
"226",226,15,2,1,2,"Ble",TRUE,2,0
"227",227,15,3,1,3,"Tet",TRUE,2,0
"228",228,15,4,1,4,"Ble",TRUE,2,0
"229",229,15,5,2,1,"Col",TRUE,1,1
"230",230,15,6,2,2,"Tet",TRUE,1,1
"231",231,15,7,2,3,"Tet",TRUE,1,1
"232",232,15,8,2,4,"Ble",TRUE,1,1
"233",233,15,9,3,1,"Ble",FALSE,0,NA
"234",234,15,10,3,2,"Ble",FALSE,0,NA
"235",235,15,11,3,3,"Col",FALSE,0,NA
"236",236,15,12,3,4,"Col",FALSE,0,NA
"237",237,15,13,4,1,"Tet",FALSE,0,NA
"238",238,15,14,4,2,"Col",FALSE,0,NA
"239",239,15,15,4,3,"Ble",FALSE,0,NA
"240",240,15,16,4,4,"Col",FALSE,0,NA
"241",241,16,1,1,1,"Col",FALSE,0,NA
"242",242,16,2,1,2,"Tet",FALSE,0,NA
"243",243,16,3,1,3,"Tet",FALSE,0,NA
"244",244,16,4,1,4,"Col",FALSE,0,NA
"245",245,16,5,2,1,"Col",FALSE,0,NA
"246",246,16,6,2,2,"Tet",FALSE,0,NA
"247",247,16,7,2,3,"Col",FALSE,0,NA
"248",248,16,8,2,4,"Ble",FALSE,0,NA
"249",249,16,9,3,1,"Ble",FALSE,0,NA
"250",250,16,10,3,2,"Ble",FALSE,0,NA
"251",251,16,11,3,3,"Ble",FALSE,0,NA
"252",252,16,12,3,4,"Col",FALSE,0,NA
"253",253,16,13,4,1,"Tet",FALSE,0,NA
"254",254,16,14,4,2,"Ble",FALSE,0,NA
"255",255,16,15,4,3,"Col",FALSE,0,NA
"256",256,16,16,4,4,"Tet",FALSE,0,NA
