"","id","landscape","position","row","column","initial.species","extinctions","distance2nonextinct","connectivity2nonextinct"
"4280",4280,268,8,2,4,"Ble",TRUE,1,1
"4281",4281,268,9,3,1,"Tet",TRUE,2,0
"4282",4282,268,10,3,2,"Ble",TRUE,1,1
"4283",4283,268,11,3,3,"Ble",FALSE,0,NA
"4284",4284,268,12,3,4,"Col",TRUE,1,1
"4285",4285,268,13,4,1,"Col",TRUE,3,0
"4286",4286,268,14,4,2,"Ble",TRUE,2,0
"4287",4287,268,15,4,3,"Col",TRUE,1,1
"4288",4288,268,16,4,4,"Ble",TRUE,2,0
"4289",4289,269,1,1,1,"Ble",TRUE,1,1
"4290",4290,269,2,1,2,"Tet",FALSE,0,NA
"4291",4291,269,3,1,3,"Tet",TRUE,1,1
"4292",4292,269,4,1,4,"Col",TRUE,2,0
"4293",4293,269,5,2,1,"Col",TRUE,2,0
"4294",4294,269,6,2,2,"Col",TRUE,1,1
"4295",4295,269,7,2,3,"Ble",TRUE,2,0
"4296",4296,269,8,2,4,"Col",TRUE,3,0
"4297",4297,269,9,3,1,"Ble",TRUE,2,0
"4298",4298,269,10,3,2,"Ble",TRUE,1,1
"4299",4299,269,11,3,3,"Tet",TRUE,2,0
"4300",4300,269,12,3,4,"Tet",TRUE,3,0
"4301",4301,269,13,4,1,"Tet",TRUE,1,1
"4302",4302,269,14,4,2,"Ble",FALSE,0,NA
"4303",4303,269,15,4,3,"Tet",TRUE,1,1
"4304",4304,269,16,4,4,"Col",TRUE,2,0
"4305",4305,270,1,1,1,"Ble",FALSE,0,NA
"4306",4306,270,2,1,2,"Col",TRUE,1,2
"4307",4307,270,3,1,3,"Ble",TRUE,2,0
"4308",4308,270,4,1,4,"Tet",TRUE,3,0
"4309",4309,270,5,2,1,"Tet",TRUE,1,2
"4310",4310,270,6,2,2,"Tet",FALSE,0,NA
"4311",4311,270,7,2,3,"Col",TRUE,1,1
"4312",4312,270,8,2,4,"Col",TRUE,2,0
"4313",4313,270,9,3,1,"Tet",TRUE,2,0
"4314",4314,270,10,3,2,"Ble",TRUE,1,1
"4315",4315,270,11,3,3,"Col",TRUE,2,0
"4316",4316,270,12,3,4,"Col",TRUE,3,0
"4317",4317,270,13,4,1,"Tet",TRUE,3,0
"4318",4318,270,14,4,2,"Ble",TRUE,2,0
"4319",4319,270,15,4,3,"Ble",TRUE,3,0
"4320",4320,270,16,4,4,"Ble",TRUE,4,0
"4321",4321,271,1,1,1,"Ble",TRUE,4,0
"4322",4322,271,2,1,2,"Col",TRUE,3,0
"4323",4323,271,3,1,3,"Tet",TRUE,3,0
"4324",4324,271,4,1,4,"Col",TRUE,4,0
"4325",4325,271,5,2,1,"Tet",TRUE,3,0
"4326",4326,271,6,2,2,"Ble",TRUE,2,0
"4327",4327,271,7,2,3,"Tet",TRUE,2,0
"4328",4328,271,8,2,4,"Col",TRUE,3,0
"4329",4329,271,9,3,1,"Tet",TRUE,2,0
"4330",4330,271,10,3,2,"Col",TRUE,1,1
"4331",4331,271,11,3,3,"Tet",TRUE,1,1
"4332",4332,271,12,3,4,"Ble",TRUE,2,0
"4333",4333,271,13,4,1,"Col",TRUE,1,1
"4334",4334,271,14,4,2,"Tet",FALSE,0,NA
"4335",4335,271,15,4,3,"Ble",FALSE,0,NA
"4336",4336,271,16,4,4,"Ble",TRUE,1,1
"4337",4337,272,1,1,1,"Ble",TRUE,1,1
"4338",4338,272,2,1,2,"Ble",TRUE,2,0
"4339",4339,272,3,1,3,"Col",TRUE,3,0
"4340",4340,272,4,1,4,"Ble",TRUE,4,0
"4341",4341,272,5,2,1,"Tet",FALSE,0,NA
"4342",4342,272,6,2,2,"Tet",TRUE,1,1
"4343",4343,272,7,2,3,"Col",TRUE,2,0
"4344",4344,272,8,2,4,"Col",TRUE,3,0
"4345",4345,272,9,3,1,"Tet",FALSE,0,NA
"4346",4346,272,10,3,2,"Tet",TRUE,1,1
"4347",4347,272,11,3,3,"Col",TRUE,2,0
"4348",4348,272,12,3,4,"Ble",TRUE,3,0
"4349",4349,272,13,4,1,"Ble",TRUE,1,1
"4350",4350,272,14,4,2,"Tet",TRUE,2,0
"4351",4351,272,15,4,3,"Ble",TRUE,3,0
"4352",4352,272,16,4,4,"Col",TRUE,4,0
"4353",4353,273,1,1,1,"Ble",TRUE,4,0
"4354",4354,273,2,1,2,"Tet",TRUE,3,0
"4355",4355,273,3,1,3,"Ble",TRUE,3,0
"4356",4356,273,4,1,4,"Ble",TRUE,4,0
"4357",4357,273,5,2,1,"Ble",TRUE,3,0
"4358",4358,273,6,2,2,"Col",TRUE,2,0
"4359",4359,273,7,2,3,"Col",TRUE,2,0
"4360",4360,273,8,2,4,"Col",TRUE,3,0
"4361",4361,273,9,3,1,"Tet",TRUE,2,0
"4362",4362,273,10,3,2,"Col",TRUE,1,1
"4363",4363,273,11,3,3,"Ble",TRUE,1,1
"4364",4364,273,12,3,4,"Ble",TRUE,2,0
"4365",4365,273,13,4,1,"Tet",TRUE,1,1
"4366",4366,273,14,4,2,"Tet",FALSE,0,NA
"4367",4367,273,15,4,3,"Col",FALSE,0,NA
"4368",4368,273,16,4,4,"Tet",TRUE,1,1
"4369",4369,274,1,1,1,"Tet",TRUE,4,0
"4370",4370,274,2,1,2,"Col",TRUE,3,0
"4371",4371,274,3,1,3,"Col",TRUE,3,0
"4372",4372,274,4,1,4,"Ble",TRUE,4,0
"4373",4373,274,5,2,1,"Ble",TRUE,3,0
"4374",4374,274,6,2,2,"Col",TRUE,2,0
"4375",4375,274,7,2,3,"Tet",TRUE,2,0
"4376",4376,274,8,2,4,"Tet",TRUE,3,0
"4377",4377,274,9,3,1,"Col",TRUE,2,0
"4378",4378,274,10,3,2,"Tet",TRUE,1,1
"4379",4379,274,11,3,3,"Ble",TRUE,1,1
"4380",4380,274,12,3,4,"Col",TRUE,2,0
"4381",4381,274,13,4,1,"Ble",TRUE,1,1
"4382",4382,274,14,4,2,"Tet",FALSE,0,NA
"4383",4383,274,15,4,3,"Ble",FALSE,0,NA
"4384",4384,274,16,4,4,"Ble",TRUE,1,1
"4385",4385,275,1,1,1,"Ble",TRUE,1,1
"4386",4386,275,2,1,2,"Tet",TRUE,2,0
"4387",4387,275,3,1,3,"Tet",TRUE,3,0
"4388",4388,275,4,1,4,"Tet",TRUE,4,0
"4389",4389,275,5,2,1,"Col",FALSE,0,NA
"4390",4390,275,6,2,2,"Ble",TRUE,1,1
"4391",4391,275,7,2,3,"Col",TRUE,2,0
"4392",4392,275,8,2,4,"Col",TRUE,3,0
"4393",4393,275,9,3,1,"Ble",FALSE,0,NA
"4394",4394,275,10,3,2,"Col",TRUE,1,1
"4395",4395,275,11,3,3,"Col",TRUE,2,0
"4396",4396,275,12,3,4,"Col",TRUE,3,0
"4397",4397,275,13,4,1,"Ble",TRUE,1,1
"4398",4398,275,14,4,2,"Tet",TRUE,2,0
"4399",4399,275,15,4,3,"Ble",TRUE,3,0
"4400",4400,275,16,4,4,"Tet",TRUE,4,0
"4401",4401,276,1,1,1,"Tet",TRUE,4,0
"4402",4402,276,2,1,2,"Ble",TRUE,3,0
"4403",4403,276,3,1,3,"Tet",TRUE,3,0
"4404",4404,276,4,1,4,"Col",TRUE,4,0
"4405",4405,276,5,2,1,"Ble",TRUE,3,0
"4406",4406,276,6,2,2,"Col",TRUE,2,0
"4407",4407,276,7,2,3,"Tet",TRUE,2,0
"4408",4408,276,8,2,4,"Ble",TRUE,3,0
"4409",4409,276,9,3,1,"Tet",TRUE,2,0
"4410",4410,276,10,3,2,"Ble",TRUE,1,1
"4411",4411,276,11,3,3,"Ble",TRUE,1,1
"4412",4412,276,12,3,4,"Col",TRUE,2,0
"4413",4413,276,13,4,1,"Col",TRUE,1,1
"4414",4414,276,14,4,2,"Tet",FALSE,0,NA
"4415",4415,276,15,4,3,"Col",FALSE,0,NA
"4416",4416,276,16,4,4,"Ble",TRUE,1,1
"4417",4417,277,1,1,1,"Tet",TRUE,4,0
"4418",4418,277,2,1,2,"Ble",TRUE,3,0
"4419",4419,277,3,1,3,"Ble",TRUE,3,0
"4420",4420,277,4,1,4,"Col",TRUE,4,0
"4421",4421,277,5,2,1,"Col",TRUE,3,0
"4422",4422,277,6,2,2,"Col",TRUE,2,0
"4423",4423,277,7,2,3,"Col",TRUE,2,0
"4424",4424,277,8,2,4,"Ble",TRUE,3,0
"4425",4425,277,9,3,1,"Tet",TRUE,2,0
"4426",4426,277,10,3,2,"Tet",TRUE,1,1
"4427",4427,277,11,3,3,"Col",TRUE,1,1
"4428",4428,277,12,3,4,"Col",TRUE,2,0
"4429",4429,277,13,4,1,"Ble",TRUE,1,1
"4430",4430,277,14,4,2,"Ble",FALSE,0,NA
"4431",4431,277,15,4,3,"Tet",FALSE,0,NA
"4432",4432,277,16,4,4,"Tet",TRUE,1,1
"4433",4433,278,1,1,1,"Ble",TRUE,1,1
"4434",4434,278,2,1,2,"Col",FALSE,0,NA
"4435",4435,278,3,1,3,"Col",FALSE,0,NA
"4436",4436,278,4,1,4,"Ble",TRUE,1,1
"4437",4437,278,5,2,1,"Ble",TRUE,2,0
"4438",4438,278,6,2,2,"Ble",TRUE,1,1
"4439",4439,278,7,2,3,"Tet",TRUE,1,1
"4440",4440,278,8,2,4,"Tet",TRUE,2,0
"4441",4441,278,9,3,1,"Tet",TRUE,3,0
"4442",4442,278,10,3,2,"Col",TRUE,2,0
"4443",4443,278,11,3,3,"Col",TRUE,2,0
"4444",4444,278,12,3,4,"Tet",TRUE,3,0
"4445",4445,278,13,4,1,"Col",TRUE,4,0
"4446",4446,278,14,4,2,"Tet",TRUE,3,0
"4447",4447,278,15,4,3,"Ble",TRUE,3,0
"4448",4448,278,16,4,4,"Ble",TRUE,4,0
"4449",4449,279,1,1,1,"Tet",TRUE,1,1
"4450",4450,279,2,1,2,"Tet",FALSE,0,NA
"4451",4451,279,3,1,3,"Ble",FALSE,0,NA
"4452",4452,279,4,1,4,"Col",TRUE,1,1
"4453",4453,279,5,2,1,"Tet",TRUE,2,0
"4454",4454,279,6,2,2,"Ble",TRUE,1,1
"4455",4455,279,7,2,3,"Tet",TRUE,1,1
"4456",4456,279,8,2,4,"Col",TRUE,2,0
"4457",4457,279,9,3,1,"Tet",TRUE,3,0
"4458",4458,279,10,3,2,"Tet",TRUE,2,0
"4459",4459,279,11,3,3,"Ble",TRUE,2,0
"4460",4460,279,12,3,4,"Ble",TRUE,3,0
"4461",4461,279,13,4,1,"Col",TRUE,4,0
"4462",4462,279,14,4,2,"Ble",TRUE,3,0
"4463",4463,279,15,4,3,"Col",TRUE,3,0
"4464",4464,279,16,4,4,"Col",TRUE,4,0
"4465",4465,280,1,1,1,"Col",TRUE,4,0
"4466",4466,280,2,1,2,"Col",TRUE,3,0
"4467",4467,280,3,1,3,"Tet",TRUE,2,0
"4468",4468,280,4,1,4,"Tet",TRUE,1,1
"4469",4469,280,5,2,1,"Ble",TRUE,3,0
"4470",4470,280,6,2,2,"Tet",TRUE,2,0
"4471",4471,280,7,2,3,"Ble",TRUE,1,1
"4472",4472,280,8,2,4,"Tet",FALSE,0,NA
"4473",4473,280,9,3,1,"Col",TRUE,3,0
"4474",4474,280,10,3,2,"Col",TRUE,2,0
"4475",4475,280,11,3,3,"Tet",TRUE,1,1
"4476",4476,280,12,3,4,"Tet",FALSE,0,NA
"4477",4477,280,13,4,1,"Ble",TRUE,4,0
"4478",4478,280,14,4,2,"Ble",TRUE,3,0
"4479",4479,280,15,4,3,"Col",TRUE,2,0
"4480",4480,280,16,4,4,"Ble",TRUE,1,1
"4481",4481,281,1,1,1,"Ble",TRUE,1,1
"4482",4482,281,2,1,2,"Ble",FALSE,0,NA
"4483",4483,281,3,1,3,"Ble",TRUE,1,1
"4484",4484,281,4,1,4,"Tet",TRUE,2,0
"4485",4485,281,5,2,1,"Tet",TRUE,2,0
"4486",4486,281,6,2,2,"Ble",TRUE,1,1
"4487",4487,281,7,2,3,"Col",TRUE,2,0
"4488",4488,281,8,2,4,"Tet",TRUE,3,0
"4489",4489,281,9,3,1,"Ble",TRUE,3,0
"4490",4490,281,10,3,2,"Col",TRUE,2,0
"4491",4491,281,11,3,3,"Col",TRUE,3,0
"4492",4492,281,12,3,4,"Col",TRUE,4,0
"4493",4493,281,13,4,1,"Tet",TRUE,4,0
"4494",4494,281,14,4,2,"Tet",TRUE,3,0
"4495",4495,281,15,4,3,"Col",TRUE,4,0
"4496",4496,281,16,4,4,"Tet",TRUE,5,0
"4497",4497,282,1,1,1,"Tet",TRUE,2,0
"4498",4498,282,2,1,2,"Ble",TRUE,3,0
"4499",4499,282,3,1,3,"Col",TRUE,4,0
"4500",4500,282,4,1,4,"Col",TRUE,5,0
"4501",4501,282,5,2,1,"Tet",TRUE,1,1
"4502",4502,282,6,2,2,"Tet",TRUE,2,0
"4503",4503,282,7,2,3,"Ble",TRUE,3,0
"4504",4504,282,8,2,4,"Ble",TRUE,4,0
"4505",4505,282,9,3,1,"Ble",FALSE,0,NA
"4506",4506,282,10,3,2,"Col",TRUE,1,1
"4507",4507,282,11,3,3,"Ble",TRUE,2,0
"4508",4508,282,12,3,4,"Tet",TRUE,3,0
"4509",4509,282,13,4,1,"Col",TRUE,1,1
"4510",4510,282,14,4,2,"Tet",TRUE,2,0
"4511",4511,282,15,4,3,"Col",TRUE,3,0
"4512",4512,282,16,4,4,"Tet",TRUE,4,0
"4513",4513,283,1,1,1,"Col",TRUE,4,0
"4514",4514,283,2,1,2,"Ble",TRUE,3,0
"4515",4515,283,3,1,3,"Col",TRUE,4,0
"4516",4516,283,4,1,4,"Col",TRUE,5,0
"4517",4517,283,5,2,1,"Ble",TRUE,3,0
"4518",4518,283,6,2,2,"Tet",TRUE,2,0
"4519",4519,283,7,2,3,"Tet",TRUE,3,0
"4520",4520,283,8,2,4,"Tet",TRUE,4,0
"4521",4521,283,9,3,1,"Col",TRUE,2,0
"4522",4522,283,10,3,2,"Tet",TRUE,1,1
"4523",4523,283,11,3,3,"Ble",TRUE,2,0
"4524",4524,283,12,3,4,"Tet",TRUE,3,0
"4525",4525,283,13,4,1,"Ble",TRUE,1,1
"4526",4526,283,14,4,2,"Col",FALSE,0,NA
"4527",4527,283,15,4,3,"Tet",TRUE,1,1
"4528",4528,283,16,4,4,"Ble",TRUE,2,0
"4529",4529,284,1,1,1,"Tet",TRUE,4,0
"4530",4530,284,2,1,2,"Tet",TRUE,3,0
"4531",4531,284,3,1,3,"Tet",TRUE,2,0
"4532",4532,284,4,1,4,"Ble",TRUE,1,1
"4533",4533,284,5,2,1,"Ble",TRUE,3,0
"4534",4534,284,6,2,2,"Ble",TRUE,2,0
"4535",4535,284,7,2,3,"Tet",TRUE,1,1
"4536",4536,284,8,2,4,"Ble",FALSE,0,NA
"4537",4537,284,9,3,1,"Col",TRUE,4,0
"4538",4538,284,10,3,2,"Ble",TRUE,3,0
"4539",4539,284,11,3,3,"Col",TRUE,2,0
"4540",4540,284,12,3,4,"Col",TRUE,1,1
"4541",4541,284,13,4,1,"Tet",TRUE,5,0
"4542",4542,284,14,4,2,"Col",TRUE,4,0
"4543",4543,284,15,4,3,"Col",TRUE,3,0
"4544",4544,284,16,4,4,"Ble",TRUE,2,0
"4545",4545,285,1,1,1,"Ble",TRUE,5,0
"4546",4546,285,2,1,2,"Ble",TRUE,4,0
"4547",4547,285,3,1,3,"Col",TRUE,3,0
"4548",4548,285,4,1,4,"Tet",TRUE,4,0
"4549",4549,285,5,2,1,"Col",TRUE,4,0
"4550",4550,285,6,2,2,"Ble",TRUE,3,0
"4551",4551,285,7,2,3,"Col",TRUE,2,0
"4552",4552,285,8,2,4,"Col",TRUE,3,0
"4553",4553,285,9,3,1,"Tet",TRUE,3,0
"4554",4554,285,10,3,2,"Ble",TRUE,2,0
"4555",4555,285,11,3,3,"Col",TRUE,1,1
"4556",4556,285,12,3,4,"Col",TRUE,2,0
"4557",4557,285,13,4,1,"Tet",TRUE,2,0
"4558",4558,285,14,4,2,"Tet",TRUE,1,1
"4559",4559,285,15,4,3,"Ble",FALSE,0,NA
"4560",4560,285,16,4,4,"Tet",TRUE,1,1
"4561",4561,286,1,1,1,"Col",TRUE,5,0
"4562",4562,286,2,1,2,"Col",TRUE,4,0
"4563",4563,286,3,1,3,"Ble",TRUE,3,0
"4564",4564,286,4,1,4,"Col",TRUE,2,0
"4565",4565,286,5,2,1,"Tet",TRUE,4,0
"4566",4566,286,6,2,2,"Ble",TRUE,3,0
"4567",4567,286,7,2,3,"Ble",TRUE,2,0
"4568",4568,286,8,2,4,"Tet",TRUE,1,1
"4569",4569,286,9,3,1,"Col",TRUE,3,0
"4570",4570,286,10,3,2,"Col",TRUE,2,0
"4571",4571,286,11,3,3,"Ble",TRUE,1,1
"4572",4572,286,12,3,4,"Tet",FALSE,0,NA
"4573",4573,286,13,4,1,"Tet",TRUE,4,0
"4574",4574,286,14,4,2,"Ble",TRUE,3,0
"4575",4575,286,15,4,3,"Col",TRUE,2,0
"4576",4576,286,16,4,4,"Tet",TRUE,1,1
"4577",4577,287,1,1,1,"Col",TRUE,2,0
"4578",4578,287,2,1,2,"Ble",TRUE,1,1
"4579",4579,287,3,1,3,"Tet",FALSE,0,NA
"4580",4580,287,4,1,4,"Ble",TRUE,1,1
"4581",4581,287,5,2,1,"Tet",TRUE,3,0
"4582",4582,287,6,2,2,"Ble",TRUE,2,0
"4583",4583,287,7,2,3,"Tet",TRUE,1,1
"4584",4584,287,8,2,4,"Ble",TRUE,2,0
"4585",4585,287,9,3,1,"Tet",TRUE,4,0
"4586",4586,287,10,3,2,"Col",TRUE,3,0
"4587",4587,287,11,3,3,"Col",TRUE,2,0
"4588",4588,287,12,3,4,"Col",TRUE,3,0
"4589",4589,287,13,4,1,"Tet",TRUE,5,0
"4590",4590,287,14,4,2,"Col",TRUE,4,0
"4591",4591,287,15,4,3,"Tet",TRUE,3,0
"4592",4592,287,16,4,4,"Ble",TRUE,4,0
"4593",4593,288,1,1,1,"Ble",TRUE,5,0
"4594",4594,288,2,1,2,"Col",TRUE,4,0
"4595",4595,288,3,1,3,"Col",TRUE,3,0
"4596",4596,288,4,1,4,"Tet",TRUE,4,0
"4597",4597,288,5,2,1,"Col",TRUE,4,0
"4598",4598,288,6,2,2,"Tet",TRUE,3,0
"4599",4599,288,7,2,3,"Col",TRUE,2,0
"4600",4600,288,8,2,4,"Ble",TRUE,3,0
"4601",4601,288,9,3,1,"Tet",TRUE,3,0
"4602",4602,288,10,3,2,"Tet",TRUE,2,0
"4603",4603,288,11,3,3,"Tet",TRUE,1,1
"4604",4604,288,12,3,4,"Ble",TRUE,2,0
"4605",4605,288,13,4,1,"Ble",TRUE,2,0
"4606",4606,288,14,4,2,"Col",TRUE,1,1
"4607",4607,288,15,4,3,"Ble",FALSE,0,NA
"4608",4608,288,16,4,4,"Col",TRUE,1,1
"4609",4609,289,1,1,1,"Col",TRUE,1,1
"4610",4610,289,2,1,2,"Ble",TRUE,2,0
"4611",4611,289,3,1,3,"Col",TRUE,3,0
"4612",4612,289,4,1,4,"Tet",TRUE,4,0
"4613",4613,289,5,2,1,"Tet",FALSE,0,NA
"4614",4614,289,6,2,2,"Col",TRUE,1,1
"4615",4615,289,7,2,3,"Ble",TRUE,2,0
"4616",4616,289,8,2,4,"Ble",TRUE,3,0
"4617",4617,289,9,3,1,"Col",TRUE,1,1
"4618",4618,289,10,3,2,"Tet",TRUE,2,0
"4619",4619,289,11,3,3,"Tet",TRUE,3,0
"4620",4620,289,12,3,4,"Ble",TRUE,4,0
"4621",4621,289,13,4,1,"Tet",TRUE,2,0
"4622",4622,289,14,4,2,"Tet",TRUE,3,0
"4623",4623,289,15,4,3,"Ble",TRUE,4,0
"4624",4624,289,16,4,4,"Col",TRUE,5,0
"4625",4625,290,1,1,1,"Ble",TRUE,5,0
"4626",4626,290,2,1,2,"Col",TRUE,4,0
"4627",4627,290,3,1,3,"Tet",TRUE,3,0
"4628",4628,290,4,1,4,"Col",TRUE,4,0
"4629",4629,290,5,2,1,"Col",TRUE,4,0
"4630",4630,290,6,2,2,"Ble",TRUE,3,0
"4631",4631,290,7,2,3,"Tet",TRUE,2,0
"4632",4632,290,8,2,4,"Ble",TRUE,3,0
"4633",4633,290,9,3,1,"Tet",TRUE,3,0
"4634",4634,290,10,3,2,"Tet",TRUE,2,0
"4635",4635,290,11,3,3,"Ble",TRUE,1,1
"4636",4636,290,12,3,4,"Tet",TRUE,2,0
"4637",4637,290,13,4,1,"Ble",TRUE,2,0
"4638",4638,290,14,4,2,"Col",TRUE,1,1
"4639",4639,290,15,4,3,"Col",FALSE,0,NA
"4640",4640,290,16,4,4,"Ble",TRUE,1,1
"4641",4641,291,1,1,1,"Col",TRUE,1,1
"4642",4642,291,2,1,2,"Ble",TRUE,2,0
"4643",4643,291,3,1,3,"Col",TRUE,3,0
"4644",4644,291,4,1,4,"Ble",TRUE,4,0
"4645",4645,291,5,2,1,"Tet",FALSE,0,NA
"4646",4646,291,6,2,2,"Col",TRUE,1,1
"4647",4647,291,7,2,3,"Ble",TRUE,2,0
"4648",4648,291,8,2,4,"Ble",TRUE,3,0
"4649",4649,291,9,3,1,"Tet",TRUE,1,1
"4650",4650,291,10,3,2,"Tet",TRUE,2,0
"4651",4651,291,11,3,3,"Ble",TRUE,3,0
"4652",4652,291,12,3,4,"Tet",TRUE,4,0
"4653",4653,291,13,4,1,"Tet",TRUE,2,0
"4654",4654,291,14,4,2,"Col",TRUE,3,0
"4655",4655,291,15,4,3,"Col",TRUE,4,0
"4656",4656,291,16,4,4,"Tet",TRUE,5,0
"4657",4657,292,1,1,1,"Col",TRUE,4,0
"4658",4658,292,2,1,2,"Col",TRUE,3,0
"4659",4659,292,3,1,3,"Ble",TRUE,4,0
"4660",4660,292,4,1,4,"Col",TRUE,5,0
